CREATE TABLE USERS (username varchar(255) PRIMARY KEY,password varchar(255),homeroom int,userlevel int,desc varchar(255),magicpoints int,staminapoints int,experiencepoints int,gender varchar(255),race varchar(255),class varchar(255),flags int);
INSERT INTO USERS VALUES ("test","teH0wLIpW0gyQ",1,1, "Test User",0,1000, 0,"male","Human","Warrior",0);
INSERT INTO USERS VALUES ("system","sy.AqC0U7RJpw",1,12,"System administrator",99999,99999,99999,"male","Human","Warrior",0);
INSERT INTO USERS VALUES ("baduser","baQdv.vyYwMNs",1,1, "Evil User",0,1000, 0,"male","Human","Warrior",0);

CREATE TABLE INVENTORY (name varchar(255) primary key,description varchar(255),attributes int,owner varchar(255));
INSERT INTO INVENTORY VALUES ("sword","A rusty sword",0,"test");
INSERT INTO INVENTORY VALUES ("torch","A unlit torch",0,"test");
INSERT INTO INVENTORY VALUES ("goldbar","A bar of gold",0,"test");
INSERT INTO INVENTORY VALUES ("goblet","A goblet",0,"system");
INSERT INTO INVENTORY VALUES ("matches","A box of matches",0,"system");
INSERT INTO INVENTORY VALUES ("goldcoin","A gold coin",0,"system");

CREATE TABLE RACES (name varchar(255) PRIMARY KEY,magic int,strength int,agility int,dexterity int,luck int,wisdom int,intelligence int,stamina int);
INSERT INTO RACES VALUES ("Human",12,12,12,6,0,8,10,100);
INSERT INTO RACES VALUES ("Dwarf",10,11,8,10,0,6,12,200);
INSERT INTO RACES VALUES ("Elf",12,15,14,12,12,18,6,300);
INSERT INTO RACES VALUES ("Halfling",8,6,6,6,0,6,6,120);
INSERT INTO RACES VALUES ("Sprite",6,10,15,10,10,12,5,20);
INSERT INTO RACES VALUES ("Orc",2,2,1,5,0,2,20,300);
INSERT INTO RACES VALUES ("Centaur",14,14,7,10,12,12,10,100);
INSERT INTO RACES VALUES ("WolfMan",10,7,9,7,0,8,11,110);
INSERT INTO RACES VALUES ("Dwarf",10,8,12,6,0,8,10,50);
INSERT INTO RACES VALUES ("Halfling",6,6,6,6,0,6,6,120);
INSERT INTO RACES VALUES ("Gnome",12,11,10,7,0,7,7,40);
INSERT INTO RACES VALUES ("Half-Giant",8,4,2,5,0,2,14,250);

CREATE TABLE CLASSES (name varchar(255) PRIMARY KEY);
INSERT INTO CLASSES VALUES ("Warrior");
INSERT INTO CLASSES VALUES ("Thief");
INSERT INTO CLASSES VALUES ("Mage");
INSERT INTO CLASSES VALUES ("Cleric");
INSERT INTO CLASSES VALUES ("Ranger");
INSERT INTO CLASSES VALUES ("Paladin");
INSERT INTO CLASSES VALUES ("Psionic");
INSERT INTO CLASSES VALUES ("Barbarian");
INSERT INTO CLASSES VALUES ("Hero");

CREATE TABLE BANS (ipaddress varchar(255) PRIMARY KEY,reason varchar(255));
INSERT INTO BANS VALUES("6.6.6.6","Test ban");

CREATE TABLE GENERATABLEOBJECTS (name varchar(255) PRIMARY KEY,description varchar(255),attackpoints int,generateprob int,staminapoints int,magicpoints int,attributes int,verb varchar(255),verbmessage varchar(255));
INSERT INTO GENERATABLEOBJECTS VALUES("bottle","A bottle of potion,drink labelled 'drink me'",100,20,100,0,0,"drink","You drink the potion and suddenly shrink");
INSERT INTO GENERATABLEOBJECTS VALUES("apple","An apple",0,50,300,0,0,"eat","You eat the apple and suddenly realize you are naked");
INSERT INTO GENERATABLEOBJECTS VALUES("pie","A pie",10,0,100,2,0,"eat","You eat the pie and belch");
INSERT INTO GENERATABLEOBJECTS VALUES("grapes","A bunch of grapes",10,0,100,2,0,"eat","You eat the grapes and hiccup");
INSERT INTO GENERATABLEOBJECTS VALUES("almonds","A bag of almonds",10,0,100,2,0,"eat","You eat the almonds and puke");
INSERT INTO GENERATABLEOBJECTS VALUES("jug","A jug of water",10,0,100,2,"drink",0,"You drink the jug of water and feel refreshed");

CREATE TABLE SPELLS (name varchar(255) PRIMARY KEY,spellpoints int,damage int,message varchar(255),level int,class varchar(255));
INSERT INTO SPELLS VALUES("hunt",50,67,"casts a hunt spell",7,"mage");
INSERT INTO SPELLS VALUES("cause light",1,0,"0",casts a ause light spell,"0");
INSERT INTO SPELLS VALUES("mace",1,0,"0",casts a ce spell,"0");
INSERT INTO SPELLS VALUES("dodge",1,0,"0",casts a dge spell,"0");
INSERT INTO SPELLS VALUES("recall",1,0,"0",casts a call spell,"0");
INSERT INTO SPELLS VALUES("exotic",1,0,"0",casts a otic spell,"0");
INSERT INTO SPELLS VALUES("holy rift",2,0,"0",casts a ly rift spell,"0");
INSERT INTO SPELLS VALUES("cure light",3,0,"1",casts a re light spell,"0");
INSERT INTO SPELLS VALUES("staves",3,0,"1",casts a aves spell,"0");
INSERT INTO SPELLS VALUES("detect invis",1,1,"casts a tect invis spell",0,"cleric");
INSERT INTO SPELLS VALUES("detect magic",1,1,"casts a tect magic spell",0,"cleric");
INSERT INTO SPELLS VALUES("wands",1,1,"casts a nds spell",0,"cleric");
INSERT INTO SPELLS VALUES("armor",1,1,"casts a mor spell",0,"cleric");
INSERT INTO SPELLS VALUES("flail",1,1,"casts a ail spell",0,"cleric");
INSERT INTO SPELLS VALUES("soulburn",1,1,"casts a ulburn spell",0,"cleric");
INSERT INTO SPELLS VALUES("cure blindness",1,2,"casts a re blindness spell",0,"cleric");
INSERT INTO SPELLS VALUES("bless",1,2,"casts a ess spell",0,"cleric");
INSERT INTO SPELLS VALUES("scrolls",1,2,"casts a rolls spell",0,"cleric");
INSERT INTO SPELLS VALUES("faerie fire",2,2,"casts a erie fire spell",0,"cleric");
INSERT INTO SPELLS VALUES("underwater breathing",2,2,"casts a derwater breathing spell",0,"cleric");
INSERT INTO SPELLS VALUES("continual light",2,3,"casts a ntinual light spell",0,"cleric");
INSERT INTO SPELLS VALUES("refresh",2,3,"casts a fresh spell",0,"cleric");
INSERT INTO SPELLS VALUES("blindness",2,3,"casts a lindness spell",0,"cleric");
INSERT INTO SPELLS VALUES("create food",2,3,"casts a reate food spell",0,"cleric");
INSERT INTO SPELLS VALUES("whip",2,3,"casts a hip spell",0,"cleric");
INSERT INTO SPELLS VALUES("create water",2,3,"casts a reate water spell",0,"cleric");
INSERT INTO SPELLS VALUES("holy rain",2,3,"casts a oly rain spell",0,"cleric");
INSERT INTO SPELLS VALUES("protection evil",3,4,"casts a rotection evil spell",0,"cleric");
INSERT INTO SPELLS VALUES("protection good",3,4,"casts a rotection good spell",0,"cleric");
INSERT INTO SPELLS VALUES("detect hidden",3,4,"casts a etect hidden spell",0,"cleric");
INSERT INTO SPELLS VALUES("charm person",3,4,"casts a harm person spell",0,"cleric");
INSERT INTO SPELLS VALUES("aid",3,5,"casts a id spell",0,"cleric");
INSERT INTO SPELLS VALUES("meditation",3,5,"casts a editation spell",0,"cleric");
INSERT INTO SPELLS VALUES("detect evil",4,5,"casts a etect evil spell",0,"cleric");
INSERT INTO SPELLS VALUES("detect good",4,5,"casts a etect good spell",0,"cleric");
INSERT INTO SPELLS VALUES("cause serious",4,5,"casts a ause serious spell",0,"cleric");
INSERT INTO SPELLS VALUES("word of recall",4,5,"casts a ord of recall spell",0,"cleric");
INSERT INTO SPELLS VALUES("command",4,5,"casts a ommand spell",0,"cleric");
INSERT INTO SPELLS VALUES("know alignment",4,6,"casts a now alignment spell",0,"cleric");
INSERT INTO SPELLS VALUES("bless weapon",4,6,"casts a less weapon spell",0,"cleric");
INSERT INTO SPELLS VALUES("magic circle",4,6,"casts a agic circle spell",0,"cleric");
INSERT INTO SPELLS VALUES("cure serious",5,6,"casts a ure serious spell",0,"cleric");
INSERT INTO SPELLS VALUES("curse",5,7,"casts a urse spell",0,"cleric");
INSERT INTO SPELLS VALUES("detect poison",5,7,"casts a etect poison spell",0,"cleric");
INSERT INTO SPELLS VALUES("giant strength",5,7,"casts a iant strength spell",0,"cleric");
INSERT INTO SPELLS VALUES("cure poison",6,8,"casts a ure poison spell",0,"cleric");
INSERT INTO SPELLS VALUES("minor swarm",6,8,"casts a inor swarm spell",0,"cleric");
INSERT INTO SPELLS VALUES("haste",6,8,"casts a aste spell",0,"cleric");
INSERT INTO SPELLS VALUES("animate dead",6,8,"casts a nimate dead spell",0,"cleric");
INSERT INTO SPELLS VALUES("faerie fog",6,9,"casts a aerie fog spell",1,"cleric");
INSERT INTO SPELLS VALUES("dispel magic",7,9,"casts a ispel magic spell",1,"cleric");
INSERT INTO SPELLS VALUES("cure disease",7,10,"casts a ure disease spell",1,"cleric");
INSERT INTO SPELLS VALUES("curse item",7,10,"casts a urse item spell",1,"cleric");
INSERT INTO SPELLS VALUES("enlightenment",7,10,"casts a nlightenment spell",1,"cleric");
INSERT INTO SPELLS VALUES("sense anger",8,10,"casts a ense anger spell",1,"cleric");
INSERT INTO SPELLS VALUES("white flame",8,11,"casts a hite flame spell",1,"cleric");
INSERT INTO SPELLS VALUES("remove curse",8,11,"casts a emove curse spell",1,"cleric");
INSERT INTO SPELLS VALUES("godly embrace",8,11,"casts a odly embrace spell",1,"cleric");
INSERT INTO SPELLS VALUES("calm",8,11,"casts a alm spell",1,"cleric");
INSERT INTO SPELLS VALUES("cancellation",8,11,"casts a ancellation spell",1,"cleric");
INSERT INTO SPELLS VALUES("summon",9,12,"casts a ummon spell",1,"cleric");
INSERT INTO SPELLS VALUES("spirit bolt",9,12,"casts a pirit bolt spell",1,"cleric");
INSERT INTO SPELLS VALUES("absorb",9,12,"casts a bsorb spell",1,"cleric");
INSERT INTO SPELLS VALUES("cause critical",10,13,"casts a ause critical spell",1,"cleric");
INSERT INTO SPELLS VALUES("cure critical",10,13,"casts a ure critical spell",1,"cleric");
INSERT INTO SPELLS VALUES("prayer of fortune",10,14,"casts a rayer of fortune spell",1,"cleric");
INSERT INTO SPELLS VALUES("angel breath",11,14,"casts a ngel breath spell",1,"cleric");
INSERT INTO SPELLS VALUES("sanctuary",11,15,"casts a anctuary spell",1,"cleric");
INSERT INTO SPELLS VALUES("dispel evil",11,15,"casts a ispel evil spell",1,"cleric");
INSERT INTO SPELLS VALUES("dispel good",11,15,"casts a ispel good spell",1,"cleric");
INSERT INTO SPELLS VALUES("indestructible aura",12,16,"casts a ndestructible aura spell",1,"cleric");
INSERT INTO SPELLS VALUES("major swarm",12,16,"casts a ajor swarm spell",1,"cleric");
INSERT INTO SPELLS VALUES("flamestrike",13,18,"casts a lamestrike spell",2,"cleric");
INSERT INTO SPELLS VALUES("brew",13,18,"casts a rew spell",2,"cleric");
INSERT INTO SPELLS VALUES("recharge",14,18,"casts a echarge spell",2,"cleric");
INSERT INTO SPELLS VALUES("frenzy",14,19,"casts a renzy spell",2,"cleric");
INSERT INTO SPELLS VALUES("harm",14,19,"casts a arm spell",2,"cleric");
INSERT INTO SPELLS VALUES("fire",15,20,"casts a ire spell",2,"cleric");
INSERT INTO SPELLS VALUES("fireproof",15,20,"casts a ireproof spell",2,"cleric");
INSERT INTO SPELLS VALUES("divine swiftness",15,20,"casts a ivine swiftness spell",2,"cleric");
INSERT INTO SPELLS VALUES("gate",16,21,"casts a ate spell",2,"cleric");
INSERT INTO SPELLS VALUES("torment",16,21,"casts a orment spell",2,"cleric");
INSERT INTO SPELLS VALUES("true seeing",16,22,"casts a rue seeing spell",2,"cleric");
INSERT INTO SPELLS VALUES("conjure elemental",17,22,"casts a onjure elemental spell",2,"cleric");
INSERT INTO SPELLS VALUES("revelation",17,23,"casts a evelation spell",2,"cleric");
INSERT INTO SPELLS VALUES("plague",18,24,"casts a lague spell",2,"cleric");
INSERT INTO SPELLS VALUES("fire blast",18,25,"casts a fire blast spell",2,"cleric");
INSERT INTO SPELLS VALUES("rally",19,25,"casts a rally spell",2,"cleric");
INSERT INTO SPELLS VALUES("blight",20,27,"casts a light spell",3,"cleric");
INSERT INTO SPELLS VALUES("line of protection",20,27,"casts a ine of protection spell",3,"cleric");
INSERT INTO SPELLS VALUES("purify",21,28,"casts a urify spell",3,"cleric");
INSERT INTO SPELLS VALUES("demonfire",22,29,"casts a emonfire spell",3,"cleric");
INSERT INTO SPELLS VALUES("angelfire",22,29,"casts a ngelfire spell",3,"cleric");
INSERT INTO SPELLS VALUES("pure faith",22,30,"casts a ure faith spell",3,"cleric");
INSERT INTO SPELLS VALUES("light arrow",23,31,"casts a ight arrow spell",3,"cleric");
INSERT INTO SPELLS VALUES("holy arrow",23,31,"casts a oly arrow spell",3,"cleric");
INSERT INTO SPELLS VALUES("chariot of sustarre",24,32,"casts a hariot of sustarre spell",3,"cleric");
INSERT INTO SPELLS VALUES("mist form",25,33,"casts a mist form spell",3,"cleric");
INSERT INTO SPELLS VALUES("warmth",25,33,"casts a warmth spell",3,"cleric");
INSERT INTO SPELLS VALUES("extinguish",25,33,"casts a extinguish spell",3,"cleric");
INSERT INTO SPELLS VALUES("herbal remedy",25,34,"casts a herbal remedy spell",3,"cleric");
INSERT INTO SPELLS VALUES("web",26,35,"casts a web spell",3,"cleric");
INSERT INTO SPELLS VALUES("plaguebane",26,35,"casts a plaguebane spell",3,"cleric");
INSERT INTO SPELLS VALUES("renew",27,36,"casts a renew spell",4,"cleric");
INSERT INTO SPELLS VALUES("locate corpse",27,36,"casts a locate corpse spell",4,"cleric");
INSERT INTO SPELLS VALUES("engulf",28,37,"casts a engulf spell",4,"cleric");
INSERT INTO SPELLS VALUES("dissolve",28,37,"casts a dissolve spell",4,"cleric");
INSERT INTO SPELLS VALUES("vaccinate",29,38,"casts a vaccinate spell",4,"cleric");
INSERT INTO SPELLS VALUES("ego boost",29,39,"casts a ego boost spell",4,"cleric");
INSERT INTO SPELLS VALUES("power of faith",29,39,"casts a power of faith spell",4,"cleric");
INSERT INTO SPELLS VALUES("party sanctuary",30,40,"casts a party sanctuary spell",4,"cleric");
INSERT INTO SPELLS VALUES("illuminate",31,41,"casts a illuminate spell",4,"cleric");
INSERT INTO SPELLS VALUES("acidproof",31,42,"casts a acidproof spell",4,"cleric");
INSERT INTO SPELLS VALUES("holy mirror",32,43,"casts a holy mirror spell",4,"cleric");
INSERT INTO SPELLS VALUES("disrupt",32,43,"casts a disrupt spell",4,"cleric");
INSERT INTO SPELLS VALUES("exorcise",33,44,"casts a exorcise spell",4,"cleric");
INSERT INTO SPELLS VALUES("purge",34,45,"casts a purge spell",5,"cleric");
INSERT INTO SPELLS VALUES("reverse align",34,46,"casts a reverse align spell",5,"cleric");
INSERT INTO SPELLS VALUES("lightspeed",35,47,"casts a lightspeed spell",5,"cleric");
INSERT INTO SPELLS VALUES("caustic rain",35,47,"casts a caustic rain spell",5,"cleric");
INSERT INTO SPELLS VALUES("grey aura",36,48,"casts a grey aura spell",5,"cleric");
INSERT INTO SPELLS VALUES("vengeance",36,49,"casts a vengeance spell",5,"cleric");
INSERT INTO SPELLS VALUES("miracle",37,49,"casts a miracle spell",5,"cleric");
INSERT INTO SPELLS VALUES("scry",37,50,"casts a scry spell",5,"cleric");
INSERT INTO SPELLS VALUES("rejuvenate",38,51,"casts a rejuvenate spell",5,"cleric");
INSERT INTO SPELLS VALUES("wayfind",38,51,"casts a wayfind spell",5,"cleric");
INSERT INTO SPELLS VALUES("spiritual disruption",39,52,"casts a spiritual disruption spell",5,"cleric");
INSERT INTO SPELLS VALUES("toxic resistance",39,53,"casts a toxic resistance spell",5,"cleric");
INSERT INTO SPELLS VALUES("holy word",40,53,"casts a holy word spell",5,"cleric");
INSERT INTO SPELLS VALUES("restore life",41,54,"casts a restore life spell",6,"cleric");
INSERT INTO SPELLS VALUES("camp",41,55,"casts a camp spell",6,"cleric");
INSERT INTO SPELLS VALUES("create poultice",42,56,"casts a create poultice spell",6,"cleric");
INSERT INTO SPELLS VALUES("blades of light",43,57,"casts a blades of light spell",6,"cleric");
INSERT INTO SPELLS VALUES("starburst",43,57,"casts a starburst spell",6,"cleric");
INSERT INTO SPELLS VALUES("regeneration",44,59,"casts a regeneration spell",6,"cleric");
INSERT INTO SPELLS VALUES("finger of death",45,60,"casts a finger of death spell",6,"cleric");
INSERT INTO SPELLS VALUES("voice of god",47,63,"casts a voice of god spell",7,"cleric");
INSERT INTO SPELLS VALUES("locate object",50,67,"casts a locate object spell",7,"cleric");
INSERT INTO SPELLS VALUES("locate animal",50,67,"casts a locate animal spell",7,"cleric");
INSERT INTO SPELLS VALUES("enhanced damage",50,67,"casts a enhanced damage spell",7,"cleric");
INSERT INTO SPELLS VALUES("second attack",50,67,"casts a second attack spell",7,"cleric");
INSERT INTO SPELLS VALUES("third attack",50,67,"casts a third attack spell",7,"cleric");
INSERT INTO SPELLS VALUES("dual wield",50,67,"casts a dual wield spell",7,"cleric");
INSERT INTO SPELLS VALUES("hunt",50,67,"casts a hunt spell",7,"cleric");
INSERT INTO SPELLS VALUES("axe",1,0,"0",casts a xe spell,"0");
INSERT INTO SPELLS VALUES("parry",1,0,"0",casts a rry spell,"0");
INSERT INTO SPELLS VALUES("recall",1,0,"0",casts a call spell,"0");
INSERT INTO SPELLS VALUES("exotic",1,0,"0",casts a otic spell,"0");
INSERT INTO SPELLS VALUES("sword",2,0,"0",casts a ord spell,"0");
INSERT INTO SPELLS VALUES("kick",3,0,"1",casts a ck spell,"0");
INSERT INTO SPELLS VALUES("air dart",1,1,"casts a r dart spell",0,"ranger");
INSERT INTO SPELLS VALUES("goodberry",1,1,"casts a odberry spell",0,"ranger");
INSERT INTO SPELLS VALUES("dagger",1,1,"casts a gger spell",0,"ranger");
INSERT INTO SPELLS VALUES("continual light",1,2,"casts a ntinual light spell",0,"ranger");
INSERT INTO SPELLS VALUES("darkness",1,2,"casts a rkness spell",0,"ranger");
INSERT INTO SPELLS VALUES("flame blade",1,2,"casts a ame blade spell",0,"ranger");
INSERT INTO SPELLS VALUES("cure light",2,2,"casts a re light spell",0,"ranger");
INSERT INTO SPELLS VALUES("second attack",2,3,"casts a cond attack spell",0,"ranger");
INSERT INTO SPELLS VALUES("detect poison",2,3,"casts a etect poison spell",0,"ranger");
INSERT INTO SPELLS VALUES("barkskin",2,3,"casts a arkskin spell",0,"ranger");
INSERT INTO SPELLS VALUES("spear",2,3,"casts a pear spell",0,"ranger");
INSERT INTO SPELLS VALUES("earth maw",2,3,"casts a arth maw spell",0,"ranger");
INSERT INTO SPELLS VALUES("refresh",3,4,"casts a efresh spell",0,"ranger");
INSERT INTO SPELLS VALUES("polearm",3,4,"casts a olearm spell",0,"ranger");
INSERT INTO SPELLS VALUES("underwater breathing",3,4,"casts a nderwater breathing spell",0,"ranger");
INSERT INTO SPELLS VALUES("forage",3,4,"casts a orage spell",0,"ranger");
INSERT INTO SPELLS VALUES("rescue",3,5,"casts a escue spell",0,"ranger");
INSERT INTO SPELLS VALUES("protection evil",4,5,"casts a rotection evil spell",0,"ranger");
INSERT INTO SPELLS VALUES("faerie fire",4,5,"casts a aerie fire spell",0,"ranger");
INSERT INTO SPELLS VALUES("moonbeam",4,6,"casts a oonbeam spell",0,"ranger");
INSERT INTO SPELLS VALUES("sunray",4,6,"casts a unray spell",0,"ranger");
INSERT INTO SPELLS VALUES("whip",4,6,"casts a hip spell",0,"ranger");
INSERT INTO SPELLS VALUES("dust devil",4,6,"casts a ust devil spell",0,"ranger");
INSERT INTO SPELLS VALUES("dodge",4,6,"casts a odge spell",0,"ranger");
INSERT INTO SPELLS VALUES("animal friendship",5,6,"casts a nimal friendship spell",0,"ranger");
INSERT INTO SPELLS VALUES("enhanced damage",5,7,"casts a nhanced damage spell",0,"ranger");
INSERT INTO SPELLS VALUES("sense life",5,7,"casts a ense life spell",0,"ranger");
INSERT INTO SPELLS VALUES("cure poison",5,7,"casts a ure poison spell",0,"ranger");
INSERT INTO SPELLS VALUES("dual wield",6,8,"casts a ual wield spell",0,"ranger");
INSERT INTO SPELLS VALUES("pass without trace",6,8,"casts a ass without trace spell",0,"ranger");
INSERT INTO SPELLS VALUES("natures touch",6,9,"casts a atures touch spell",1,"ranger");
INSERT INTO SPELLS VALUES("infravision",7,9,"casts a nfravision spell",1,"ranger");
INSERT INTO SPELLS VALUES("earthquake",7,9,"casts a arthquake spell",1,"ranger");
INSERT INTO SPELLS VALUES("hunt",7,10,"casts a unt spell",1,"ranger");
INSERT INTO SPELLS VALUES("hand to hand",8,10,"casts a and to hand spell",1,"ranger");
INSERT INTO SPELLS VALUES("sense anger",8,11,"casts a ense anger spell",1,"ranger");
INSERT INTO SPELLS VALUES("skin",8,11,"casts a kin spell",1,"ranger");
INSERT INTO SPELLS VALUES("lore",8,11,"casts a ore spell",1,"ranger");
INSERT INTO SPELLS VALUES("wind blast",8,11,"casts a ind blast spell",1,"ranger");
INSERT INTO SPELLS VALUES("third attack",9,12,"casts a hird attack spell",1,"ranger");
INSERT INTO SPELLS VALUES("vitality",9,12,"casts a itality spell",1,"ranger");
INSERT INTO SPELLS VALUES("wands",9,13,"casts a ands spell",1,"ranger");
INSERT INTO SPELLS VALUES("fire",10,13,"casts a ire spell",1,"ranger");
INSERT INTO SPELLS VALUES("camouflage",10,14,"casts a amouflage spell",1,"ranger");
INSERT INTO SPELLS VALUES("cure disease",10,14,"casts a ure disease spell",1,"ranger");
INSERT INTO SPELLS VALUES("fire storm",11,14,"casts a ire storm spell",1,"ranger");
INSERT INTO SPELLS VALUES("disarm",11,15,"casts a isarm spell",1,"ranger");
INSERT INTO SPELLS VALUES("meditation",12,16,"casts a editation spell",1,"ranger");
INSERT INTO SPELLS VALUES("transport via plants",12,16,"casts a ransport via plants spell",1,"ranger");
INSERT INTO SPELLS VALUES("control weather",12,17,"casts a ontrol weather spell",1,"ranger");
INSERT INTO SPELLS VALUES("ground strike",13,17,"casts a round strike spell",1,"ranger");
INSERT INTO SPELLS VALUES("divining",13,18,"casts a ivining spell",2,"ranger");
INSERT INTO SPELLS VALUES("ice storm",14,19,"casts a ce storm spell",2,"ranger");
INSERT INTO SPELLS VALUES("whirlwind",15,20,"casts a hirlwind spell",2,"ranger");
INSERT INTO SPELLS VALUES("sustenance",15,20,"casts a ustenance spell",2,"ranger");
INSERT INTO SPELLS VALUES("berserk",17,22,"casts a erserk spell",2,"ranger");
INSERT INTO SPELLS VALUES("solar flare",17,23,"casts a olar flare spell",2,"ranger");
INSERT INTO SPELLS VALUES("locate animal",18,25,"casts a ocate animal spell",2,"ranger");
INSERT INTO SPELLS VALUES("rainbow",20,26,"casts a ainbow spell",2,"ranger");
INSERT INTO SPELLS VALUES("protection from fire",21,28,"casts a rotection from fire spell",3,"ranger");
INSERT INTO SPELLS VALUES("wolf spirits",23,31,"casts a olf spirits spell",3,"ranger");
INSERT INTO SPELLS VALUES("hydroblast",24,32,"casts a ydroblast spell",3,"ranger");
INSERT INTO SPELLS VALUES("call lightning",24,33,"casts a all lightning spell",3,"ranger");
INSERT INTO SPELLS VALUES("tame",25,33,"casts a tame spell",3,"ranger");
INSERT INTO SPELLS VALUES("plaguebane",26,34,"casts a plaguebane spell",3,"ranger");
INSERT INTO SPELLS VALUES("cyclone",26,35,"casts a cyclone spell",3,"ranger");
INSERT INTO SPELLS VALUES("dissolve",26,35,"casts a dissolve spell",3,"ranger");
INSERT INTO SPELLS VALUES("recon",28,38,"casts a recon spell",4,"ranger");
INSERT INTO SPELLS VALUES("locate corpse",29,39,"casts a locate corpse spell",4,"ranger");
INSERT INTO SPELLS VALUES("fire rain",29,39,"casts a fire rain spell",4,"ranger");
INSERT INTO SPELLS VALUES("second attack dual",29,39,"casts a second attack dual spell",4,"ranger");
INSERT INTO SPELLS VALUES("retreat",30,40,"casts a retreat spell",4,"ranger");
INSERT INTO SPELLS VALUES("earth shroud",31,41,"casts a earth shroud spell",4,"ranger");
INSERT INTO SPELLS VALUES("aim",31,41,"casts a aim spell",4,"ranger");
INSERT INTO SPELLS VALUES("shockproof",32,43,"casts a shockproof spell",4,"ranger");
INSERT INTO SPELLS VALUES("tornado",32,43,"casts a tornado spell",4,"ranger");
INSERT INTO SPELLS VALUES("panic",33,45,"casts a panic spell",5,"ranger");
INSERT INTO SPELLS VALUES("survey",34,45,"casts a survey spell",5,"ranger");
INSERT INTO SPELLS VALUES("camp",34,46,"casts a camp spell",5,"ranger");
INSERT INTO SPELLS VALUES("rejuvenate",35,47,"casts a rejuvenate spell",5,"ranger");
INSERT INTO SPELLS VALUES("butcher",35,47,"casts a butcher spell",5,"ranger");
INSERT INTO SPELLS VALUES("warmth",36,48,"casts a warmth spell",5,"ranger");
INSERT INTO SPELLS VALUES("ice bolt",36,49,"casts a ice bolt spell",5,"ranger");
INSERT INTO SPELLS VALUES("third attack dual",38,51,"casts a third attack dual spell",5,"ranger");
INSERT INTO SPELLS VALUES("forestfire",40,54,"casts a forestfire spell",6,"ranger");
INSERT INTO SPELLS VALUES("counter strike",41,54,"casts a counter strike spell",6,"ranger");
INSERT INTO SPELLS VALUES("toxic resistance",42,56,"casts a toxic resistance spell",6,"ranger");
INSERT INTO SPELLS VALUES("tempest",43,57,"casts a tempest spell",6,"ranger");
INSERT INTO SPELLS VALUES("scout",44,59,"casts a scout spell",6,"ranger");
INSERT INTO SPELLS VALUES("create poultice",45,60,"casts a create poultice spell",6,"ranger");
INSERT INTO SPELLS VALUES("eruption",46,62,"casts a eruption spell",6,"ranger");
INSERT INTO SPELLS VALUES("gate",50,67,"casts a gate spell",7,"ranger");
INSERT INTO SPELLS VALUES("locate object",50,67,"casts a locate object spell",7,"ranger");
INSERT INTO SPELLS VALUES("sanctuary",50,67,"casts a sanctuary spell",7,"ranger");
INSERT INTO SPELLS VALUES("summon",50,67,"casts a summon spell",7,"ranger");
INSERT INTO SPELLS VALUES("scrolls",50,67,"casts a scrolls spell",7,"ranger");
INSERT INTO SPELLS VALUES("staves",50,67,"casts a staves spell",7,"ranger");
INSERT INTO SPELLS VALUES("flail",1,0,"0",casts a lail spell,"0");
INSERT INTO SPELLS VALUES("parry",1,0,"0",casts a rry spell,"0");
INSERT INTO SPELLS VALUES("lay hands",1,0,"0",casts a y hands spell,"0");
INSERT INTO SPELLS VALUES("recall",1,0,"0",casts a call spell,"0");
INSERT INTO SPELLS VALUES("exotic",1,0,"0",casts a otic spell,"0");
INSERT INTO SPELLS VALUES("sword",2,0,"0",casts a ord spell,"0");
INSERT INTO SPELLS VALUES("kick",2,0,"0",casts a ck spell,"0");
INSERT INTO SPELLS VALUES("hallowed light",3,0,"1",casts a llowed light spell,"0");
INSERT INTO SPELLS VALUES("detect evil",1,1,"casts a tect evil spell",0,"paladin");
INSERT INTO SPELLS VALUES("detect good",1,1,"casts a tect good spell",0,"paladin");
INSERT INTO SPELLS VALUES("cure light",1,1,"casts a re light spell",0,"paladin");
INSERT INTO SPELLS VALUES("bless",1,2,"casts a ess spell",0,"paladin");
INSERT INTO SPELLS VALUES("mace",1,2,"casts a ce spell",0,"paladin");
INSERT INTO SPELLS VALUES("detect magic",2,2,"casts a tect magic spell",0,"paladin");
INSERT INTO SPELLS VALUES("protection evil",2,3,"casts a otection evil spell",0,"paladin");
INSERT INTO SPELLS VALUES("holy fury",2,3,"casts a ly fury spell",0,"paladin");
INSERT INTO SPELLS VALUES("polearm",2,3,"casts a olearm spell",0,"paladin");
INSERT INTO SPELLS VALUES("spear",2,3,"casts a pear spell",0,"paladin");
INSERT INTO SPELLS VALUES("second attack",3,4,"casts a econd attack spell",0,"paladin");
INSERT INTO SPELLS VALUES("aid",3,4,"casts a id spell",0,"paladin");
INSERT INTO SPELLS VALUES("meditation",3,4,"casts a editation spell",0,"paladin");
INSERT INTO SPELLS VALUES("glare",3,4,"casts a lare spell",0,"paladin");
INSERT INTO SPELLS VALUES("rescue",3,5,"casts a escue spell",0,"paladin");
INSERT INTO SPELLS VALUES("whip",4,5,"casts a hip spell",0,"paladin");
INSERT INTO SPELLS VALUES("dodge",4,5,"casts a odge spell",0,"paladin");
INSERT INTO SPELLS VALUES("enhanced damage",4,6,"casts a nhanced damage spell",0,"paladin");
